No,ExpNo,FileCode,PhotoCode,ExtractionType,ExpCode,DAI,Host,HostVariety,Treatment,Condition,Dilution,techRep,isoRepNumber,sampleNumber,ExposureTreatment,chl
1,ES2,DSC_0392.sample.clean.chl.csv,NA,Digital,ES2_1,14DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,Stem1,isolateRep1,sample1,raw,10.605
2,ES2,DSC_0392.sample2.clean.chl.csv,NA,Digital,ES2_1,14DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,Stem1,isolateRep1,sample2,raw,13.216
3,ES2,DSC_0392.sample3.clean.chl.csv,NA,Digital,ES2_1,14DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,Stem1,isolateRep1,sample3,raw,0
4,ES2,DSC_0546.sample.clean.chl.csv,NA,Digital,ES2_2,14DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,Stem1,isolateRep2,sample1,raw,12.36
5,ES2,DSC_0546.sample2.clean.chl.csv,NA,Digital,ES2_2,14DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,Stem1,isolateRep2,sample2,raw,19.414
6,ES2,DSC_0546.sample3.clean.chl.csv,NA,Digital,ES2_2,14DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,Stem1,isolateRep2,sample3,raw,16.978
7,ES2,DSC_0174.mod.sample.clean.chl.csv,NA,Digital,ES2_3,14DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,Stem1,isolateRep1,sample1,raw,16.788
8,ES2,DSC_0174.mod.sample2.clean.chl.csv,NA,Digital,ES2_3,14DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,Stem1,isolateRep1,sample2,raw,18.88
9,ES2,DSC_0174.mod.sample3.clean.chl.csv,NA,Digital,ES2_3,14DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,Stem1,isolateRep1,sample3,raw,26.391
10,ES2,DSC_0241.mod.sample.clean.chl.csv,NA,Digital,ES2_4,14DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,Stem1,isolateRep2,sample1,raw,43.866
11,ES2,DSC_0241.mod.sample2.clean.chl.csv,NA,Digital,ES2_4,14DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,Stem1,isolateRep2,sample2,raw,0
12,ES2,DSC_0241.mod.sample3.clean.chl.csv,NA,Digital,ES2_4,14DAI,Soybean,AG4632,DMCC2165,Shaking,100fold,Stem1,isolateRep2,sample3,raw,0
13,ES2,DSC_0301.mod.sample.clean.chl.csv,NA,Digital,ES2_5,14DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,Stem2,isolateRep1,sample1,raw,11.295
14,ES2,DSC_0301.mod.sample2.clean.chl.csv,NA,Digital,ES2_5,14DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,Stem2,isolateRep1,sample2,raw,16.242
15,ES2,DSC_0301.mod.sample3.clean.chl.csv,NA,Digital,ES2_5,14DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,Stem2,isolateRep1,sample3,raw,14.993
16,ES2,DSC_0465.mod.sample.clean.chl.csv,NA,Digital,ES2_6,14DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,Stem2,isolateRep2,sample1,raw,8.509
17,ES2,DSC_0465.mod.sample2.clean.chl.csv,NA,Digital,ES2_6,14DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,Stem2,isolateRep2,sample2,raw,14.774
18,ES2,DSC_0465.mod.sample3.clean.chl.csv,NA,Digital,ES2_6,14DAI,Soybean,AG4632,DMCC2165,Shaking,25fold,Stem2,isolateRep2,sample3,raw,14.679
