No,ExpNo,ExtractionType,Treatment,Species,Condition,Dilution,techRepNumber,isoRepNumber,HostVariety,TreatmentCode,ExpCode,645nm_without_adj,646nm_without_adj,663nm_without_adj,645nm,646nm,663nm,Volume,ChlorophyllA,ChlorophyllB,FinalpH,ChlSource,relative_chl,chl_perSqMill,chl
1,ES10,Chemical,Control,Control,shaking,100fold,techRep1,isoRep1,AG4632,ES10_Control_isoRep1_techRep1_100fold_AG4632,ES10_01,0.33,0.34,0.72,0.33,0.34,0.72,1,,,7.47,Chl_Chem_Arnon,12.4404,Chl_Chem_Arnon_ngPerSquareMillm,8707.846
2,ES10,Chemical,Control,Control,shaking,100fold,techRep2,isoRep1,AG4632,ES10_Control_isoRep1_techRep2_100fold_AG4632,ES10_02,0.1,0.11,0.23,0.1,0.11,0.23,1,,,7.51,Chl_Chem_Arnon,3.8646,Chl_Chem_Arnon_ngPerSquareMillm,2802.130146
3,ES10,Chemical,Control,Control,shaking,100fold,techRep3,isoRep1,AG4632,ES10_Control_isoRep1_techRep3_100fold_AG4632,ES10_03,0.15,0.16,0.41,0.15,0.16,0.41,1,,,7.55,Chl_Chem_Arnon,6.3182,Chl_Chem_Arnon_ngPerSquareMillm,4463.572266
4,ES10,Chemical,Control,Control,shaking,100fold,techRep1,isoRep2,AG4632,ES10_Control_isoRep2_techRep1_100fold_AG4632,ES10_04,0.24,0.25,0.58,0.24,0.25,0.58,1,,,7.45,Chl_Chem_Arnon,9.4996,Chl_Chem_Arnon_ngPerSquareMillm,6662.791288
5,ES10,Chemical,Control,Control,shaking,100fold,techRep2,isoRep2,AG4632,ES10_Control_isoRep2_techRep2_100fold_AG4632,ES10_05,0.44,0.46,1,0.44,0.46,1,1,,,7.5,Chl_Chem_Arnon,16.908,Chl_Chem_Arnon_ngPerSquareMillm,11914.20791
6,ES10,Chemical,Control,Control,shaking,100fold,techRep3,isoRep2,AG4632,ES10_Control_isoRep2_techRep3_100fold_AG4632,ES10_06,0.29,0.31,0.7,0.29,0.31,0.7,1,,,7.54,Chl_Chem_Arnon,11.472,Chl_Chem_Arnon_ngPerSquareMillm,8163.196038
7,ES10,Chemical,Control,Control,shaking,100fold,techRep1,isoRep3,AG4632,ES10_Control_isoRep3_techRep1_100fold_AG4632,ES10_07,0.3,0.32,0.74,0.3,0.32,0.74,1,,,7.46,Chl_Chem_Arnon,11.9948,Chl_Chem_Arnon_ngPerSquareMillm,8516.039704
8,ES10,Chemical,Control,Control,shaking,100fold,techRep2,isoRep3,AG4632,ES10_Control_isoRep3_techRep2_100fold_AG4632,ES10_08,0.29,0.31,0.68,0.29,0.31,0.68,1,,,7.45,Chl_Chem_Arnon,11.3116,Chl_Chem_Arnon_ngPerSquareMillm,8060.419832
9,ES10,Chemical,Control,Control,shaking,100fold,techRep3,isoRep3,AG4632,ES10_Control_isoRep3_techRep3_100fold_AG4632,ES10_09,0.19,0.2,0.45,0.19,0.2,0.45,1,,,7.54,Chl_Chem_Arnon,7.447,Chl_Chem_Arnon_ngPerSquareMillm,5258.289686
10,ES10,Chemical,Control,Control,shaking,100fold,techRep1,isoRep4,AG4632,ES10_Control_isoRep4_techRep1_100fold_AG4632,ES10_10,0.41,0.42,0.91,0.41,0.42,0.91,1,,,7.44,Chl_Chem_Arnon,15.5802,Chl_Chem_Arnon_ngPerSquareMillm,10862.54998
11,ES10,Chemical,Control,Control,shaking,100fold,techRep2,isoRep4,AG4632,ES10_Control_isoRep4_techRep2_100fold_AG4632,ES10_11,0.22,0.22,0.46,0.22,0.22,0.46,1,,,7.38,Chl_Chem_Arnon,8.1332,Chl_Chem_Arnon_ngPerSquareMillm,5604.260292
12,ES10,Chemical,Control,Control,shaking,100fold,techRep3,isoRep4,AG4632,ES10_Control_isoRep4_techRep3_100fold_AG4632,ES10_12,0.41,0.42,0.87,0.41,0.42,0.87,1,,,7.46,Chl_Chem_Arnon,15.2594,Chl_Chem_Arnon_ngPerSquareMillm,10656.99756
13,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,100fold,techRep1,isoRep1,AG4632,ES10_DMCC2165_isoRep1_techRep1_100fold_AG4632,ES10_13,0.27,0.29,0.67,0.27,0.29,0.67,1,,,7.58,Chl_Chem_Arnon,10.8274,Chl_Chem_Arnon_ngPerSquareMillm,7714.449225
14,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,100fold,techRep2,isoRep1,AG4632,ES10_DMCC2165_isoRep1_techRep2_100fold_AG4632,ES10_14,0.09,0.1,0.25,0.09,0.1,0.25,1,,,7.49,Chl_Chem_Arnon,3.823,Chl_Chem_Arnon_ngPerSquareMillm,2757.615101
15,ES10,Chemical,DMCC2165,X.necrophora_DMCC2165_LA,shaking,100fold,techRep3,isoRep1,AG4632,ES10_DMCC2165_isoRep1_techRep3_100fold_AG4632,ES10_15,0.38,0.4,0.9,0.38,0.4,0.9,1,,,7.44,Chl_Chem_Arnon,14.894,Chl_Chem_Arnon_ngPerSquareMillm,10516.57937
