No,ExpNo,ExtractionType,FileCode,Photo,ExpCode,TreatmentCode,Treatment,Species,isolateRepNumber,techRepNumber,Condition,Dilution,HostVariety,ExposureTreatment,SampleNumber,chl
1,ES10,Digital,DSC_0038_ES10_01.sample1.BExpStd_ExpFixedMinusOne.clean.jpg.chl.csv,DSC_0038,ES10_01,ES10_Control_isoRep1_techRep1_100fold_AG4632,Control,Control,isoRep1,techRep1,shaking,100fold,AG4632,WBExpStd_ExpFixedMinusOne,sample1,362.699
2,ES10,Digital,DSC_0620_ES10_02.sample1.BExpStd_ExpFixedMinusOne.clean.jpg.chl.csv,DSC_0620,ES10_02,ES10_Control_isoRep1_techRep2_100fold_AG4632,Control,Control,isoRep1,techRep2,shaking,100fold,AG4632,WBExpStd_ExpFixedMinusOne,sample1,46.558
3,ES10,Digital,DSC_0614_ES10_03.sample1.BExpStd_ExpFixedMinusOne.clean.jpg.chl.csv,DSC_0614,ES10_03,ES10_Control_isoRep1_techRep3_100fold_AG4632,Control,Control,isoRep1,techRep3,shaking,100fold,AG4632,WBExpStd_ExpFixedMinusOne,sample1,208.31
4,ES10,Digital,DSC_0580_ES10_4.sample1.BExpStd_ExpFixedMinusOne.clean.jpg.chl.csv,DSC_0580,ES10_04,ES10_Control_isoRep2_techRep1_100fold_AG4632,Control,Control,isoRep2,techRep1,shaking,100fold,AG4632,WBExpStd_ExpFixedMinusOne,sample1,333.131
5,ES10,Digital,DSC_0092_ES10_05.sample1.BExpStd_ExpFixedMinusOne.clean.jpg.chl.csv,DSC_0092,ES10_05,ES10_Control_isoRep2_techRep2_100fold_AG4632,Control,Control,isoRep2,techRep2,shaking,100fold,AG4632,WBExpStd_ExpFixedMinusOne,sample1,431.351
6,ES10,Digital,DSC_0030_ES10_6.sample1.BExpStd_ExpFixedMinusOne.clean.jpg.chl.csv,DSC_0030,ES10_06,ES10_Control_isoRep2_techRep3_100fold_AG4632,Control,Control,isoRep2,techRep3,shaking,100fold,AG4632,WBExpStd_ExpFixedMinusOne,sample1,325.01
7,ES10,Digital,DSC_0594_ES10_07.sample1.BExpStd_ExpFixedMinusOne.clean.jpg.chl.csv,DSC_0594,ES10_07,ES10_Control_isoRep3_techRep1_100fold_AG4632,Control,Control,isoRep3,techRep1,shaking,100fold,AG4632,WBExpStd_ExpFixedMinusOne,sample1,356.441
8,ES10,Digital,DSC_0055_ES10_8.sample1.BExpStd_ExpFixedMinusOne.clean.jpg.chl.csv,DSC_0055,ES10_08,ES10_Control_isoRep3_techRep2_100fold_AG4632,Control,Control,isoRep3,techRep2,shaking,100fold,AG4632,WBExpStd_ExpFixedMinusOne,sample1,334.466
9,ES10,Digital,DSC_0006_ES10_09.sample1.WBExpStd_ExpFixedMinusOne.clean.jpg.chl.csv,DSC_0006,ES10_09,ES10_Control_isoRep3_techRep3_100fold_AG4632,Control,Control,isoRep3,techRep3,shaking,100fold,AG4632,WBExpStd_ExpFixedMinusOne,sample1,261.355
10,ES10,Digital,DSC_0550_ES10_10.sample1.BExpStd_ExpFixedMinusOne.clean.jpg.chl.csv,DSC_0550,ES10_10,ES10_Control_isoRep4_techRep1_100fold_AG4632,Control,Control,isoRep4,techRep1,shaking,100fold,AG4632,WBExpStd_ExpFixedMinusOne,sample1,214.429
11,ES10,Digital,DSC_0541_ES10_11.sample1.BExpStd_ExpFixedMinusOne.clean.jpg.chl.csv,DSC_0541,ES10_11,ES10_Control_isoRep4_techRep2_100fold_AG4632,Control,Control,isoRep4,techRep2,shaking,100fold,AG4632,WBExpStd_ExpFixedMinusOne,sample1,275.436
12,ES10,Digital,DSC_0539_ES10_12.sample1.BExpStd_ExpFixedMinusOne.clean.jpg.chl.csv,DSC_0539,ES10_12,ES10_Control_isoRep4_techRep3_100fold_AG4632,Control,Control,isoRep4,techRep3,shaking,100fold,AG4632,WBExpStd_ExpFixedMinusOne,sample1,335.571
13,ES10,Digital,DSC_0596_ES10_13.sample1.BExpStd_ExpFixedMinusOne.clean.jpg.chl.csv,DSC_0596,ES10_13,ES10_DMCC2165_isoRep1_techRep1_100fold_AG4632,DMCC2165,X.necrophora_DMCC2165_LA,isoRep1,techRep1,shaking,100fold,AG4632,WBExpStd_ExpFixedMinusOne,sample1,311.378
14,ES10,Digital,DSC_0618_ES10_14.sample1.BExpStd_ExpFixedMinusOne.clean.jpg.chl.csv,DSC_0618,ES10_14,ES10_DMCC2165_isoRep1_techRep2_100fold_AG4632,DMCC2165,X.necrophora_DMCC2165_LA,isoRep1,techRep2,shaking,100fold,AG4632,WBExpStd_ExpFixedMinusOne,sample1,86.048
15,ES10,Digital,DSC_0560_ES10_15.sample1.BExpStd_ExpFixedMinusOne.clean.jpg.chl.csv,DSC_0560,ES10_15,ES10_DMCC2165_isoRep1_techRep3_100fold_AG4632,DMCC2165,X.necrophora_DMCC2165_LA,isoRep1,techRep3,shaking,100fold,AG4632,WBExpStd_ExpFixedMinusOne,sample1,313.691
16,ES10,Digital,DSC_0066_ES10_16.sample1.BExpStd_ExpFixedMinusOne.clean.jpg.chl.csv,DSC_0066,ES10_16,ES10_DMCC2165_isoRep2_techRep1_100fold_AG4632,DMCC2165,X.necrophora_DMCC2165_LA,isoRep2,techRep1,shaking,100fold,AG4632,WBExpStd_ExpFixedMinusOne,sample1,351.172
17,ES10,Digital,DSC_0562_ES10_17.sample1.BExpStd_ExpFixedMinusOne.clean.jpg.chl.csv,DSC_0562,ES10_17,ES10_DMCC2165_isoRep2_techRep2_100fold_AG4632,DMCC2165,X.necrophora_DMCC2165_LA,isoRep2,techRep2,shaking,100fold,AG4632,WBExpStd_ExpFixedMinusOne,sample1,224.394
18,ES10,Digital,DSC_0610_ES10_18.sample1.BExpStd_ExpFixedMinusOne.clean.jpg.chl.csv,DSC_0610,ES10_18,ES10_DMCC2165_isoRep2_techRep3_100fold_AG4632,DMCC2165,X.necrophora_DMCC2165_LA,isoRep2,techRep3,shaking,100fold,AG4632,WBExpStd_ExpFixedMinusOne,sample1,76.713
19,ES10,Digital,DSC_0576_ES10_19.sample1.BExpStd_ExpFixedMinusOne.clean.jpg.chl.csv,DSC_0576,ES10_19,ES10_DMCC2165_isoRep3_techRep1_100fold_AG4632,DMCC2165,X.necrophora_DMCC2165_LA,isoRep3,techRep1,shaking,100fold,AG4632,WBExpStd_ExpFixedMinusOne,sample1,101.907
20,ES10,Digital,DSC_0049_ES10_20.sample1.BExpStd_ExpFixedMinusOne.clean.jpg.chl.csv,DSC_0049,ES10_20,ES10_DMCC2165_isoRep3_techRep2_100fold_AG4632,DMCC2165,X.necrophora_DMCC2165_LA,isoRep3,techRep2,shaking,100fold,AG4632,WBExpStd_ExpFixedMinusOne,sample1,346.116
21,ES10,Digital,DSC_0016_ES10_21.sample1.BExpStd_ExpFixedMinusOne.clean.jpg.chl.csv,DSC_0016,ES10_21,ES10_DMCC2165_isoRep3_techRep3_100fold_AG4632,DMCC2165,X.necrophora_DMCC2165_LA,isoRep3,techRep3,shaking,100fold,AG4632,WBExpStd_ExpFixedMinusOne,sample1,85.436
