No,FileCode,PhotoCode,ExpCode,sampleNumber,ExpNo,Treatment,HostVariety,Dilution,isoRepNumber,techRepNumber,TreatmentCode,FinalpH,X1,Row,Column,chl
1,DSC_0667.ES13A_01.sample1.clean.jpg.chl.csv,DSC_0667,ES13A_01,sample1,ES13A,Control,AG4632,100fold,isoRep1,techRep1,ES13A_Control_AG4632_100fold_isoRep1_techRep1,7.53,1,1,1,253.492
2,DSC_0650.ES13A_02.sample1.clean.jpg.chl.csv,DSC_0650,ES13A_02,sample1,ES13A,Control,AG4632,100fold,isoRep1,techRep2,ES13A_Control_AG4632_100fold_isoRep1_techRep2,7.59,1,1,1,198.623
3,DSC_0520.ES13A_03.sample1.clean.jpg.chl.csv,DSC_0520,ES13A_03,sample1,ES13A,Control,AG4632,100fold,isoRep1,techRep3,ES13A_Control_AG4632_100fold_isoRep1_techRep3,7.51,1,1,1,227.688
4,DSC_0500.ES13A_04.sample1.clean.jpg.chl.csv,DSC_0500,ES13A_04,sample1,ES13A,Control,AG4632,100fold,isoRep2,techRep1,ES13A_Control_AG4632_100fold_isoRep2_techRep1,7.64,1,1,1,248.414
5,DSC_0534.ES13A_05.sample1.clean.jpg.chl.csv,DSC_0534,ES13A_05,sample1,ES13A,Control,AG4632,100fold,isoRep2,techRep2,ES13A_Control_AG4632_100fold_isoRep2_techRep2,7.77,1,1,1,137.242
6,DSC_0597.ES13A_06.sample1.clean.jpg.chl.csv,DSC_0597,ES13A_06,sample1,ES13A,Control,AG4632,100fold,isoRep2,techRep3,ES13A_Control_AG4632_100fold_isoRep2_techRep3,7.58,1,1,1,225.746
7,DSC_0675.ES13A_07.sample1.clean.jpg.chl.csv,DSC_0675,ES13A_07,sample1,ES13A,Control,AG4632,100fold,isoRep3,techRep1,ES13A_Control_AG4632_100fold_isoRep3_techRep1,7.78,1,1,1,145.004
8,DSC_0523.ES13A_08.sample1.clean.jpg.chl.csv,DSC_0523,ES13A_08,sample1,ES13A,Control,AG4632,100fold,isoRep3,techRep2,ES13A_Control_AG4632_100fold_isoRep3_techRep2,7.76,1,1,1,235.103
9,DSC_0652.ES13A_09.sample1.clean.jpg.chl.csv,DSC_0652,ES13A_09,sample1,ES13A,Control,AG4632,100fold,isoRep3,techRep3,ES13A_Control_AG4632_100fold_isoRep3_techRep3,7.75,1,1,1,190.516
10,DSC_0515.ES13A_10.sample1.clean.jpg.chl.csv,DSC_0515,ES13A_10,sample1,ES13A,Control,Osage,100fold,isoRep1,techRep1,ES13A_Control_Osage_100fold_isoRep1_techRep1,7.56,1,1,1,215.214
11,DSC_0659.ES13A_11.sample1.clean.jpg.chl.csv,DSC_0659,ES13A_11,sample1,ES13A,Control,Osage,100fold,isoRep1,techRep2,ES13A_Control_Osage_100fold_isoRep1_techRep2,7.6,1,1,1,210.619
12,DSC_0581.ES13A_12.sample1.clean.jpg.chl.csv,DSC_0581,ES13A_12,sample1,ES13A,Control,Osage,100fold,isoRep1,techRep3,ES13A_Control_Osage_100fold_isoRep1_techRep3,7.63,1,1,1,255.488
13,DSC_0524.ES13A_13.sample1.clean.jpg.chl.csv,DSC_0524,ES13A_13,sample1,ES13A,Control,Osage,100fold,isoRep2,techRep1,ES13A_Control_Osage_100fold_isoRep2_techRep1,7.73,1,1,1,178.732
14,DSC_0553.ES13A_14.sample1.clean.jpg.chl.csv,DSC_0553,ES13A_14,sample1,ES13A,Control,Osage,100fold,isoRep2,techRep2,ES13A_Control_Osage_100fold_isoRep2_techRep2,7.61,1,1,1,227.615
15,DSC_0612.ES13A_15.sample1.clean.jpg.chl.csv,DSC_0612,ES13A_15,sample1,ES13A,Control,Osage,100fold,isoRep2,techRep3,ES13A_Control_Osage_100fold_isoRep2_techRep3,7.67,1,1,1,227.477
16,DSC_0532.ES13A_16.sample1.clean.jpg.chl.csv,DSC_0532,ES13A_16,sample1,ES13A,Control,Osage,100fold,isoRep3,techRep1,ES13A_Control_Osage_100fold_isoRep3_techRep1,7.83,1,1,1,235.238
17,DSC_0640.ES13A_17.sample1.clean.jpg.chl.csv,DSC_0640,ES13A_17,sample1,ES13A,Control,Osage,100fold,isoRep3,techRep2,ES13A_Control_Osage_100fold_isoRep3_techRep2,7.68,1,1,1,228.193
18,DSC_0555.ES13A_18.sample1.clean.jpg.chl.csv,DSC_0555,ES13A_18,sample1,ES13A,Control,Osage,100fold,isoRep3,techRep3,ES13A_Control_Osage_100fold_isoRep3_techRep3,7.68,1,1,1,210.349
19,DSC_0671.ES13A_19.sample1.clean.jpg.chl.csv,DSC_0671,ES13A_19,sample1,ES13A,Control,P5414LLS,100fold,isoRep1,techRep1,ES13A_Control_P5414LLS_100fold_isoRep1_techRep1,7.62,1,1,1,175.994
20,DSC_0583.ES13A_20.sample1.clean.jpg.chl.csv,DSC_0583,ES13A_20,sample1,ES13A,Control,P5414LLS,100fold,isoRep1,techRep2,ES13A_Control_P5414LLS_100fold_isoRep1_techRep2,7.76,1,1,1,224.416
21,DSC_0599.ES13A_21.sample1.clean.jpg.chl.csv,DSC_0599,ES13A_21,sample1,ES13A,Control,P5414LLS,100fold,isoRep1,techRep3,ES13A_Control_P5414LLS_100fold_isoRep1_techRep3,7.62,1,1,1,234.737
22,DSC_0665.ES13A_22.sample1.clean.jpg.chl.csv,DSC_0665,ES13A_22,sample1,ES13A,Control,P5414LLS,100fold,isoRep2,techRep1,ES13A_Control_P5414LLS_100fold_isoRep2_techRep1,7.53,1,1,1,173.397
23,DSC_0537.ES13A_23.sample1.clean.jpg.chl.csv,DSC_0537,ES13A_23,sample1,ES13A,Control,P5414LLS,100fold,isoRep2,techRep2,ES13A_Control_P5414LLS_100fold_isoRep2_techRep2,7.61,1,1,1,149.951
24,DSC_0569.ES13A_24.sample1.clean.jpg.chl.csv,DSC_0569,ES13A_24,sample1,ES13A,Control,P5414LLS,100fold,isoRep2,techRep3,ES13A_Control_P5414LLS_100fold_isoRep2_techRep3,7.65,1,1,1,244.803
25,DSC_0634.ES13A_25.sample1.clean.jpg.chl.csv,DSC_0634,ES13A_25,sample1,ES13A,Control,P5414LLS,100fold,isoRep3,techRep1,ES13A_Control_P5414LLS_100fold_isoRep3_techRep1,7.65,1,1,1,171.806
26,DSC_0636.ES13A_26.sample1.clean.jpg.chl.csv,DSC_0636,ES13A_26,sample1,ES13A,Control,P5414LLS,100fold,isoRep3,techRep2,ES13A_Control_P5414LLS_100fold_isoRep3_techRep2,7.69,1,1,1,210.088
27,DSC_0591.ES13A_27.sample1.clean.jpg.chl.csv,DSC_0591,ES13A_27,sample1,ES13A,Control,P5414LLS,100fold,isoRep3,techRep3,ES13A_Control_P5414LLS_100fold_isoRep3_techRep3,7.52,1,1,1,216.272
28,DSC_0657.ES13A_28.sample1.clean.jpg.chl.csv,DSC_0657,ES13A_28,sample1,ES13A,Control,DG47E80,100fold,isoRep1,techRep1,ES13A_Control_DG47E80_100fold_isoRep1_techRep1,7.49,1,1,1,151.443
29,DSC_0575.ES13A_29.sample1.clean.jpg.chl.csv,DSC_0575,ES13A_29,sample1,ES13A,Control,DG47E80,100fold,isoRep1,techRep2,ES13A_Control_DG47E80_100fold_isoRep1_techRep2,7.62,1,1,1,182.896
30,DSC_0511.ES13A_30.sample1.clean.jpg.chl.csv,DSC_0511,ES13A_30,sample1,ES13A,Control,DG47E80,100fold,isoRep1,techRep3,ES13A_Control_DG47E80_100fold_isoRep1_techRep3,7.59,1,1,1,193.6
