No,FileNo,FileCode,PhotoCode,ExpCode,sampleNumber,Exposure,ExpNo,Treatment,Host,HostCultivar,Dilution,isoRepNumber,techRepNumber,TreatmentCode,FinalpH,X1,Row,Column,chl
1,166,DSC_0604.ES14B_01.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0604,ES14B_01,sample1,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep1,techRep1,ES14B_Control_Soybean_AG4632_25fold_isoRep1_techRep1,6.9,1,1,1,195.937
2,181,DSC_0613.ES14B_02.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0613,ES14B_02,sample1,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep1,techRep2,ES14B_Control_Soybean_AG4632_25fold_isoRep1_techRep2,5.66,1,1,1,197.366
3,49,DSC_0526.ES14B_03.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0526,ES14B_03,sample1,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep1,techRep3,ES14B_Control_Soybean_AG4632_25fold_isoRep1_techRep3,5.34,1,1,1,228.603
4,196,DSC_0623.ES14B_04.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0623,ES14B_04,sample1,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep2,techRep1,ES14B_Control_Soybean_AG4632_25fold_isoRep2_techRep1,6.54,1,1,1,238.629
5,211,DSC_0633.ES14B_05.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0633,ES14B_05,sample1,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep2,techRep2,ES14B_Control_Soybean_AG4632_25fold_isoRep2_techRep2,5.92,1,1,1,189.37
6,154,DSC_0595.ES14B_06.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0595,ES14B_06,sample1,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep2,techRep3,ES14B_Control_Soybean_AG4632_25fold_isoRep2_techRep3,6.92,1,1,1,179.687
7,67,DSC_0537.ES14B_07.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0537,ES14B_07,sample1,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep3,techRep1,ES14B_Control_Soybean_AG4632_25fold_isoRep3_techRep1,6.28,1,1,1,203.424
8,1,DSC_0494.ES14B_08.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0494,ES14B_08,sample1,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep3,techRep2,ES14B_Control_Soybean_AG4632_25fold_isoRep3_techRep2,5.77,1,1,1,187.04
9,160,DSC_0599.ES14B_09.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0599,ES14B_09,sample1,WBExp_std,ES14B,Control,Soybean,AG4632,25fold,isoRep3,techRep3,ES14B_Control_Soybean_AG4632_25fold_isoRep3_techRep3,6.6,1,1,1,200.63
10,187,DSC_0617.ES14B_10.sample1.WBExp_std.clean.jpg.chl.csv,DSC_0617,ES14B_10,sample1,WBExp_std,ES14B,Control,Peanut,GA06,25fold,isoRep1,techRep1,ES14B_Control_Peanut_GA06_25fold_isoRep1_techRep1,6.24,1,1,1,234.282
