No,FileName,Code,Host,Isolate,Condition,Concentration,repNumber,X,Area,Mean,Min,Max,Length
1,NA,ES1_001,Soybean,DMCC2165,Shaking,25fold,rep1,NA,NA,NA,NA,NA,0
2,NA,ES1_002,Soybean,DMCC2165,Shaking,25fold,rep2,NA,NA,NA,NA,NA,0
3,NA,ES1_003,Soybean,DMCC2165,Shaking,100fold,rep1,NA,NA,NA,NA,NA,0
4,ES2_004.longestRoot.csv,ES1_004,Soybean,DMCC2165,Shaking,100fold,rep2,1,1.678,169.937,22.958,239.333,23.913
5,ES2_005.longestRoot.csv,ES1_005,Soybean,DMCC2165,Shaking,25fold,rep1,1,0.067,149.585,110.333,166.667,0.885
6,ES2_006.longestRoot.csv,ES1_006,Soybean,DMCC2165,Shaking,25fold,rep2,1,0.171,201.86,192.333,229.6,2.615
7,NA,ES1_007,Soybean,DMCC2165,Shaking,100fold,rep1,NA,NA,NA,NA,NA,0
8,ES2_008.longestRoot.csv,ES1_008,Soybean,DMCC2165,Shaking,100fold,rep2,1,3.381,209.755,48.667,247.667,46.821
9,NA,ES1_009,Soybean,DMCC2165,Shaking,25fold,rep1,NA,NA,NA,NA,NA,0
10,NA,ES1_010,Soybean,DMCC2165,Shaking,25fold,rep2,NA,NA,NA,NA,NA,0
11,ES2_011.longestRoot.csv,ES1_011,Soybean,DMCC2165,Shaking,100fold,rep1,1,1.323,8.603,0,119.042,17.706
12,ES2_012.longestRoot.csv,ES1_012,Soybean,DMCC2165,Shaking,100fold,rep2,1,1.102,6.1,0,94.026,14.983
13,NA,ES1_013,Soybean,DMCC2165,Stationary,25fold,rep1,NA,NA,NA,NA,NA,0
14,NA,ES1_014,Soybean,DMCC2165,Stationary,25fold,rep2,NA,NA,NA,NA,NA,0
15,ES2_015.longestRoot.csv,ES1_015,Soybean,DMCC2165,Stationary,100fold,rep1,1,0.981,11.366,0,125.208,13.181
16,ES2_016.longestRoot.csv,ES1_016,Soybean,DMCC2165,Stationary,100fold,rep2,1,1.098,5.981,0,123.816,15.075
17,NA,ES1_017,Soybean,DMCC2165,Stationary,25fold,rep1,NA,NA,NA,NA,NA,0
18,NA,ES1_018,Soybean,DMCC2165,Stationary,25fold,rep2,NA,NA,NA,NA,NA,0
19,ES2_019.longestRoot.csv,ES1_019,Soybean,DMCC2165,Stationary,100fold,rep1,1,2.504,8.323,0,121.456,34.004
20,ES2_020.longestRoot.csv,ES1_020,Soybean,DMCC2165,Stationary,100fold,rep2,1,2.417,7.274,0,123.27,30.297
21,NA,ES1_021,Soybean,DMCC2165,Stationary,25fold,rep1,NA,NA,NA,NA,NA,0
22,NA,ES1_022,Soybean,DMCC2165,Stationary,25fold,rep2,NA,NA,NA,NA,NA,0
23,NA,ES1_023,Soybean,DMCC2165,Stationary,100fold,rep1,NA,NA,NA,NA,NA,0
24,ES2_024.longestRoot.csv,ES1_024,Soybean,DMCC2165,Stationary,100fold,rep2,1,0.589,2.395,0,106.721,7.425
25,NA,ES1_025,Soybean,DMCC2126,Shaking,25fold,rep1,NA,NA,NA,NA,NA,0
26,NA,ES1_026,Soybean,DMCC2126,Shaking,25fold,rep2,NA,NA,NA,NA,NA,0
27,ES2_027.longestRoot.csv,ES1_027,Soybean,DMCC2126,Shaking,100fold,rep1,1,2.421,6.138,0,102.111,32.584
28,ES2_028.longestRoot.csv,ES1_028,Soybean,DMCC2126,Shaking,100fold,rep2,1,1.131,5.114,0,106.139,15.376
29,NA,ES1_029,Soybean,DMCC2126,Shaking,25fold,rep1,NA,NA,NA,NA,NA,0
30,NA,ES1_030,Soybean,DMCC2126,Shaking,25fold,rep2,NA,NA,NA,NA,NA,0
31,ES2_031.longestRoot.csv,ES1_031,Soybean,DMCC2126,Shaking,100fold,rep1,1,2.605,3.567,0,125.126,35.493
32,NA,ES1_032,Soybean,DMCC2126,Shaking,100fold,rep2,NA,NA,NA,NA,NA,0
33,NA,ES1_033,Soybean,DMCC2126,Shaking,25fold,rep1,NA,NA,NA,NA,NA,0
34,NA,ES1_034,Soybean,DMCC2126,Shaking,25fold,rep2,NA,NA,NA,NA,NA,0
35,ES2_035.longestRoot.csv,ES1_035,Soybean,DMCC2126,Shaking,100fold,rep1,1,0.977,6.073,0,121.622,13.881
36,NA,ES1_036,Soybean,DMCC2126,Shaking,100fold,rep2,NA,NA,NA,NA,NA,0
37,NA,ES1_037,Soybean,DMCC2126,Stationary,25fold,rep1,NA,NA,NA,NA,NA,0
38,NA,ES1_038,Soybean,DMCC2126,Stationary,25fold,rep2,NA,NA,NA,NA,NA,0
39,NA,ES1_039,Soybean,DMCC2126,Stationary,100fold,rep1,NA,NA,NA,NA,NA,0
40,ES2_040.longestRoot.csv,ES1_040,Soybean,DMCC2126,Stationary,100fold,rep2,1,2.826,5.334,0,106.358,38.714
41,NA,ES1_041,Soybean,DMCC2126,Stationary,25fold,rep1,NA,NA,NA,NA,NA,0
42,NA,ES1_042,Soybean,DMCC2126,Stationary,25fold,rep2,NA,NA,NA,NA,NA,0
43,ES2_043.longestRoot.csv,ES1_043,Soybean,DMCC2126,Stationary,100fold,rep1,1,0.371,2.424,0,79.598,4.883
44,ES2_044.longestRoot.csv,ES1_044,Soybean,DMCC2126,Stationary,100fold,rep2,1,2.07,12.269,0,128.759,28.594
45,NA,ES1_045,Soybean,DMCC2126,Stationary,25fold,rep1,NA,NA,NA,NA,NA,0
46,NA,ES1_046,Soybean,DMCC2126,Stationary,25fold,rep2,NA,NA,NA,NA,NA,0
47,ES2_047.longestRoot.csv,ES1_047,Soybean,DMCC2126,Stationary,100fold,rep1,1,0.15,0,0,0,2.261
48,ES2_048.longestRoot.csv,ES1_048,Soybean,DMCC2126,Stationary,100fold,rep2,1,2.997,18.079,0,116.731,43.013
49,ES2_049.longestRoot.csv,ES1_049,Soybean,DMCC2127,Shaking,25fold,rep1,1,0.083,75.368,2.348,148.731,1.201
50,NA,ES1_050,Soybean,DMCC2127,Shaking,25fold,rep2,NA,NA,NA,NA,NA,0
