No,FileCode,ExpNo,ExpCode,Host,HostVariety,Treatment,Condition,Dilution,techRepNumber,isolateRepNumber,LeafSampleNumber,chl
1,DSC_0414_sample1.chl.csv,ES4,ES4_1,Soybean,AG4632,control,Shaking,100fold,stemRep1,IsolateRep1,sample1,164.345
2,DSC_0414_sample2.chl.csv,ES4,ES4_1,Soybean,AG4632,control,Shaking,100fold,stemRep1,IsolateRep1,sample2,306.439
3,DSC_0414_sample3.chl.csv,ES4,ES4_1,Soybean,AG4632,control,Shaking,100fold,stemRep1,IsolateRep1,sample3,0
4,DSC_0294_sample1.chl.csv,ES4,ES4_2,Soybean,AG4632,control,Shaking,100fold,stemRep2,IsolateRep1,sample1,167.056
5,DSC_0296_sample2.chl.csv,ES4,ES4_2,Soybean,AG4632,control,Shaking,100fold,stemRep2,IsolateRep1,sample2,227.267
6,DSC_0296_sample3.chl.csv,ES4,ES4_2,Soybean,AG4632,control,Shaking,100fold,stemRep2,IsolateRep1,sample3,266.861
7,DSC_0366_sample1.chl.csv,ES4,ES4_3,Soybean,AG4632,control,Shaking,100fold,stemRep3,IsolateRep1,sample1,159.478
8,DSC_0366_sample2.chl.csv,ES4,ES4_3,Soybean,AG4632,control,Shaking,100fold,stemRep3,IsolateRep1,sample2,188.025
9,DSC_0366_sample3.chl.csv,ES4,ES4_3,Soybean,AG4632,control,Shaking,100fold,stemRep3,IsolateRep1,sample3,226.314
10,DSC_0212_sample1.chl.csv,ES4,ES4_4,Soybean,AG4632,control,Stationary,100fold,stemRep1,IsolateRep1,sample1,136.829
11,DSC_0212_sample2.chl.csv,ES4,ES4_4,Soybean,AG4632,control,Stationary,100fold,stemRep1,IsolateRep1,sample2,191.474
12,DSC_0212_sample3.chl.csv,ES4,ES4_4,Soybean,AG4632,control,Stationary,100fold,stemRep1,IsolateRep1,sample3,199.08
13,DSC_0547_sample1.chl.csv,ES4,ES4_5,Soybean,AG4632,control,Stationary,100fold,stemRep2,IsolateRep1,sample1,106.937
14,DSC_0547_sample2.chl.csv,ES4,ES4_5,Soybean,AG4632,control,Stationary,100fold,stemRep2,IsolateRep1,sample2,145.362
15,DSC_0547_sample3.chl.csv,ES4,ES4_5,Soybean,AG4632,control,Stationary,100fold,stemRep2,IsolateRep1,sample3,115.942
16,DSC_0250_sample1.chl.csv,ES4,ES4_6,Soybean,AG4632,control,Stationary,100fold,stemRep3,IsolateRep1,sample1,216.729
17,DSC_0250_sample2.chl.csv,ES4,ES4_6,Soybean,AG4632,control,Stationary,100fold,stemRep3,IsolateRep1,sample2,257.817
18,DSC_0250_sample3.chl.csv,ES4,ES4_6,Soybean,AG4632,control,Stationary,100fold,stemRep3,IsolateRep1,sample3,248.882
19,DSC_0453_sample1.chl.csv,ES4,ES4_7,Soybean,AG4632,control,Shaking,25fold,stemRep1,IsolateRep1,sample1,200.201
20,DSC_0453_sample2.chl.csv,ES4,ES4_7,Soybean,AG4632,control,Shaking,25fold,stemRep1,IsolateRep1,sample2,307.545
21,DSC_0453_sample3.chl.csv,ES4,ES4_7,Soybean,AG4632,control,Shaking,25fold,stemRep1,IsolateRep1,sample3,327.59
22,DSC_0149_sample1.chl.csv,ES4,ES4_8,Soybean,AG4632,control,Shaking,25fold,stemRep2,IsolateRep1,sample1,175.547
23,DSC_0149_sample2.chl.csv,ES4,ES4_8,Soybean,AG4632,control,Shaking,25fold,stemRep2,IsolateRep1,sample2,177.945
24,DSC_0149_sample3.chl.csv,ES4,ES4_8,Soybean,AG4632,control,Shaking,25fold,stemRep2,IsolateRep1,sample3,271.117
25,NA,ES4,ES4_9,Soybean,AG4632,control,Shaking,25fold,stemRep3,IsolateRep1,sample1,NA
26,NA,ES4,ES4_9,Soybean,AG4632,control,Shaking,25fold,stemRep3,IsolateRep1,sample2,NA
27,NA,ES4,ES4_9,Soybean,AG4632,control,Shaking,25fold,stemRep3,IsolateRep1,sample3,NA
28,DSC_0303_sample1.chl.csv,ES4,ES4_10,Soybean,AG4632,control,Stationary,25fold,stemRep1,IsolateRep1,sample1,316.586
29,DSC_0303_sample2.chl.csv,ES4,ES4_10,Soybean,AG4632,control,Stationary,25fold,stemRep1,IsolateRep1,sample2,360.341
30,DSC_0303_sample3.chl.csv,ES4,ES4_10,Soybean,AG4632,control,Stationary,25fold,stemRep1,IsolateRep1,sample3,303.101
31,DSC_0335_sample1.chl.csv,ES4,ES4_11,Soybean,AG4632,control,Stationary,25fold,stemRep2,IsolateRep1,sample1,189.96
32,DSC_0335_sample2.chl.csv,ES4,ES4_11,Soybean,AG4632,control,Stationary,25fold,stemRep2,IsolateRep1,sample2,290.223
33,DSC_0335_sample3.chl.csv,ES4,ES4_11,Soybean,AG4632,control,Stationary,25fold,stemRep2,IsolateRep1,sample3,276.906
34,DSC_0446_sample1.chl.csv,ES4,ES4_12,Soybean,AG4632,control,Stationary,25fold,stemRep3,IsolateRep1,sample1,284.177
35,DSC_0450_sample2.chl.csv,ES4,ES4_12,Soybean,AG4632,control,Stationary,25fold,stemRep3,IsolateRep1,sample2,312.646
36,DSC_0450_sample3.chl.csv,ES4,ES4_12,Soybean,AG4632,control,Stationary,25fold,stemRep3,IsolateRep1,sample3,317.986
37,DSC_0434_sample1.chl.csv,ES4,ES4_13,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep1,IsolateRep1,sample1,82.008
38,DSC_0434_sample2.chl.csv,ES4,ES4_13,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep1,IsolateRep1,sample2,96.639
39,DSC_0434_sample3.chl.csv,ES4,ES4_13,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep1,IsolateRep1,sample3,119.272
40,DSC_0277_sample1.chl.csv,ES4,ES4_14,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep2,IsolateRep1,sample1,135.401
41,DSC_0277_sample2.chl.csv,ES4,ES4_14,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep2,IsolateRep1,sample2,161.628
42,DSC_0277_sample3.chl.csv,ES4,ES4_14,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep2,IsolateRep1,sample3,210.095
43,DSC_0311_sample1.chl.csv,ES4,ES4_15,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep3,IsolateRep1,sample1,117.092
44,DSC_0311_sample2.chl.csv,ES4,ES4_15,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep3,IsolateRep1,sample2,155.353
45,DSC_0311_sample3.chl.csv,ES4,ES4_15,Soybean,AG4632,DMCC2126,Shaking,100fold,stemRep3,IsolateRep1,sample3,136.627
46,DSC_0372_sample1.chl.csv,ES4,ES4_16,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep1,IsolateRep1,sample1,150.329
47,DSC_0372_sample2.chl.csv,ES4,ES4_16,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep1,IsolateRep1,sample2,197.878
48,DSC_0372_sample3.chl.csv,ES4,ES4_16,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep1,IsolateRep1,sample3,246.957
49,DSC_0551_sample1.chl.csv,ES4,ES4_17,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep2,IsolateRep1,sample1,156.453
50,DSC_0551_sample2.chl.csv,ES4,ES4_17,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep2,IsolateRep1,sample2,116.496
51,DSC_0551_sample3.chl.csv,ES4,ES4_17,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep2,IsolateRep1,sample3,132.043
52,DSC_0345_sample1.chl.csv,ES4,ES4_18,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep3,IsolateRep1,sample1,149.61
53,DSC_0345_sample3.chl.csv,ES4,ES4_18,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep3,IsolateRep1,sample2,226.613
54,DSC_0345_sample2.chl.csv,ES4,ES4_18,Soybean,AG4632,DMCC2126,Stationary,100fold,stemRep3,IsolateRep1,sample3,172.095
55,NA,ES4,ES4_19,Soybean,AG4632,DMCC2126,Shaking,25fold,stemRep1,IsolateRep1,sample1,NA
56,NA,ES4,ES4_19,Soybean,AG4632,DMCC2126,Shaking,25fold,stemRep1,IsolateRep1,sample2,NA
57,NA,ES4,ES4_19,Soybean,AG4632,DMCC2126,Shaking,25fold,stemRep1,IsolateRep1,sample3,NA
58,NA,ES4,ES4_20,Soybean,AG4632,DMCC2126,Shaking,25fold,stemRep2,IsolateRep1,sample1,NA
59,NA,ES4,ES4_20,Soybean,AG4632,DMCC2126,Shaking,25fold,stemRep2,IsolateRep1,sample2,NA
60,NA,ES4,ES4_20,Soybean,AG4632,DMCC2126,Shaking,25fold,stemRep2,IsolateRep1,sample3,NA
61,DSC_0528_sample1.chl.csv,ES4,ES4_21,Soybean,AG4632,DMCC2126,Shaking,25fold,stemRep3,IsolateRep1,sample1,68.209
62,DSC_0528_sample2.chl.csv,ES4,ES4_21,Soybean,AG4632,DMCC2126,Shaking,25fold,stemRep3,IsolateRep1,sample2,99.814
63,DSC_0528_sample3.chl.csv,ES4,ES4_21,Soybean,AG4632,DMCC2126,Shaking,25fold,stemRep3,IsolateRep1,sample3,121.964
64,DSC_0352_sample1.chl.csv,ES4,ES4_22,Soybean,AG4632,DMCC2126,Stationary,25fold,stemRep1,IsolateRep1,sample1,76.361
65,DSC_0352_sample2.chl.csv,ES4,ES4_22,Soybean,AG4632,DMCC2126,Stationary,25fold,stemRep1,IsolateRep1,sample2,87.343
