"","No","ExpNo","ExtractionType","FileNumber","PhotoCode","NA.","ExpCode","Host","HostVariety","Treatment","Condition","Dilution","isolateRepNumber","techRep","ExpCode.1","ExposureTreatment","sampleNumber","chl","ES8_digital_WBonly_T_tuk"
"1",1,"ES8","Digital",454,"DSC_0544.ES8_01.sample1.WB_only.clean.jpg.chl.csv","DSC_0544","ES8_01","soybean","AG4632","control","Shaking","100fold","isolateRep1","stemRep1","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep1_IsolateRep1","WB_only","sample1",242.462,6.83321820286913
"2",2,"ES8","Digital",127,"DSC_0086.ES8_02.sample1.WB_only.clean.jpg.chl.csv","DSC_0086","ES8_02","soybean","AG4632","control","Shaking","100fold","isolateRep1","stemRep2","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep2_IsolateRep1","WB_only","sample1",196.117,6.3442506731125
"3",3,"ES8","Digital",265,"DSC_0412.ES8_03.sample1.WB_only.clean.jpg.chl.csv","DSC_0412","ES8_03","soybean","AG4632","control","Shaking","100fold","isolateRep1","stemRep3","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep3_IsolateRep1","WB_only","sample1",203.537,6.42724979598706
"4",4,"ES8","Digital",19,"DSC_0013.ES8_04.sample1.WB_only.clean.jpg.chl.csv","DSC_0013","ES8_04","soybean","AG4632","control","Shaking","100fold","isolateRep2","stemRep1","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep1_IsolateRep2","WB_only","sample1",160.858,5.91908985211317
"5",5,"ES8","Digital",415,"DSC_0517.ES8_05.sample1.WB_only.clean.jpg.chl.csv","DSC_0517","ES8_05","soybean","AG4632","control","Shaking","100fold","isolateRep2","stemRep2","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep2_IsolateRep2","WB_only","sample1",187.757,6.24825360029818
"6",6,"ES8","Digital",133,"DSC_0090.ES8_06.sample1.WB_only.clean.jpg.chl.csv","DSC_0090","ES8_06","soybean","AG4632","control","Shaking","100fold","isolateRep2","stemRep3","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep3_IsolateRep2","WB_only","sample1",199.265,6.37970883393419
"7",7,"ES8","Digital",520,"DSC_0591.ES8_07.sample1.WB_only.clean.jpg.chl.csv","DSC_0591","ES8_07","soybean","AG4632","control","Shaking","100fold","isolateRep3","stemRep1","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep1_IsolateRep3","WB_only","sample1",257.989,6.98329544343222
"8",8,"ES8","Digital",448,"DSC_0540.ES8_08.sample1.WB_only.clean.jpg.chl.csv","DSC_0540","ES8_08","soybean","AG4632","control","Shaking","100fold","isolateRep3","stemRep2","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep2_IsolateRep3","WB_only","sample1",279.842,7.18487990972135
"9",9,"ES8","Digital",439,"DSC_0534.ES8_09.sample1.WB_only.clean.jpg.chl.csv","DSC_0534","ES8_09","soybean","AG4632","control","Shaking","100fold","isolateRep3","stemRep3","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep3_IsolateRep3","WB_only","sample1",138.784,5.62106736616965
"10",10,"ES8","Digital",64,"DSC_0044.ES8_10.sample1.WB_only.clean.jpg.chl.csv","DSC_0044","ES8_10","soybean","AG4632","control","Shaking","100fold","isolateRep4","stemRep1","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep1_IsolateRep4","WB_only","sample1",240.76,6.81639135740159
"11",11,"ES8","Digital",490,"DSC_0571.ES8_11.sample1.WB_only.clean.jpg.chl.csv","DSC_0571","ES8_11","soybean","AG4632","control","Shaking","100fold","isolateRep4","stemRep2","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep2_IsolateRep4","WB_only","sample1",259.394,6.99658273722436
"12",12,"ES8","Digital",67,"DSC_0046.ES8_12.sample1.WB_only.clean.jpg.chl.csv","DSC_0046","ES8_12","soybean","AG4632","control","Shaking","100fold","isolateRep4","stemRep3","ES8_Soybean_AG4632_control_Shaking_100fold_stemRep3_IsolateRep4","WB_only","sample1",89.659,4.82400624936069
"13",13,"ES8","Digital",250,"DSC_0402.ES8_13.sample1.WB_only.clean.jpg.chl.csv","DSC_0402","ES8_13","soybean","AG4632","control","Shaking","25fold","isolateRep1","stemRep1","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep1_IsolateRep1","WB_only","sample1",270.661,7.10148196946203
"14",14,"ES8","Digital",7,"DSC_0005.ES8_14.sample1.WB_only.clean.jpg.chl.csv","DSC_0005","ES8_14","soybean","AG4632","control","Shaking","25fold","isolateRep1","stemRep2","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep2_IsolateRep1","WB_only","sample1",199.696,6.38453508725922
"15",15,"ES8","Digital",130,"DSC_0088.ES8_15.sample1.WB_only.clean.jpg.chl.csv","DSC_0088","ES8_15","soybean","AG4632","control","Shaking","25fold","isolateRep1","stemRep3","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep3_IsolateRep1","WB_only","sample1",239.7,6.80587254812667
"16",16,"ES8","Digital",49,"DSC_0034.ES8_16.sample1.WB_only.clean.jpg.chl.csv","DSC_0034","ES8_16","soybean","AG4632","control","Shaking","25fold","isolateRep2","stemRep1","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep1_IsolateRep2","WB_only","sample1",180.947,6.16798040729493
"17",17,"ES8","Digital",502,"DSC_0579.ES8_17.sample1.WB_only.clean.jpg.chl.csv","DSC_0579","ES8_17","soybean","AG4632","control","Shaking","25fold","isolateRep2","stemRep2","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep2_IsolateRep2","WB_only","sample1",137.356,5.60075625109707
"18",18,"ES8","Digital",256,"DSC_0406.ES8_18.sample1.WB_only.clean.jpg.chl.csv","DSC_0406","ES8_18","soybean","AG4632","control","Shaking","25fold","isolateRep2","stemRep3","ES8_Soybean_AG4632_control_Shaking_25fold_stemRep3_IsolateRep2","WB_only","sample1",38.724,3.59577968123504
