Number,Isolate,Condition,isoRepNumber,FlaskCode,Step,WhatmanFilterCode,Step3,FilterWeight,Weight_grams,pHMeasurement,pH
1,DMCC2165,Shaking,isoRep1,Number_DMCC2165_Shaking_isoRep1,Filter_Whatman,Number_W1,Filter_0.2 uM,Initial,0.74,Initial,5.19
2,DMCC2165,Shaking,isoRep2,Number_DMCC2165_Shaking_isoRep2,Filter_Whatman,Number_W2,Filter_0.2 uM,Initial,0.74,Initial,5.19
3,DMCC2165,Shaking,isoRep3,Number_DMCC2165_Shaking_isoRep3,Filter_Whatman,Number_W3,Filter_0.2 uM,Initial,0.75,Initial,5.19
4,DMCC2165,Shaking,isoRep4,Number_DMCC2165_Shaking_isoRep4,Filter_Whatman,Number_W4,Filter_0.2 uM,Initial,0.77,Initial,5.19
5,DMCC2127,Shaking,isoRep1,Number_DMCC2127_Shaking_isoRep1,Filter_Whatman,Number_W5,Filter_0.2 uM,Initial,0.74,Initial,5.19
6,DMCC2127,Shaking,isoRep2,Number_DMCC2127_Shaking_isoRep2,Filter_Whatman,Number_W6,Filter_0.2 uM,Initial,0.73,Initial,5.19
7,DMCC2127,Shaking,isoRep3,Number_DMCC2127_Shaking_isoRep3,Filter_Whatman,Number_W7,Filter_0.2 uM,Initial,0.74,Initial,5.19
8,DMCC2127,Shaking,isoRep4,Number_DMCC2127_Shaking_isoRep4,Filter_Whatman,Number_W8,Filter_0.2 uM,Initial,0.74,Initial,5.19
9,DMCC2126,Shaking,isoRep1,Number_DMCC2126_Shaking_isoRep1,Filter_Whatman,Number_W9,Filter_0.2 uM,Initial,0.75,Initial,5.19
10,DMCC2126,Shaking,isoRep2,Number_DMCC2126_Shaking_isoRep2,Filter_Whatman,Number_W10,Filter_0.2 uM,Initial,0.76,Initial,5.19
11,DMCC2126,Shaking,isoRep3,Number_DMCC2126_Shaking_isoRep3,Filter_Whatman,Number_W11,Filter_0.2 uM,Initial,0.75,Initial,5.19
12,DMCC2126,Shaking,isoRep4,Number_DMCC2126_Shaking_isoRep4,Filter_Whatman,Number_W12,Filter_0.2 uM,Initial,0.74,Initial,5.19
13,Control,Shaking,isoRep1,Number_Control_Shaking_isoRep1,Filter_Whatman,Number_W13,Filter_0.2 uM,Initial,0.73,Initial,5.19
14,Control,Shaking,isoRep2,Number_Control_Shaking_isoRep2,Filter_Whatman,Number_W14,Filter_0.2 uM,Initial,0.71,Initial,5.19
15,Control,Shaking,isoRep3,Number_Control_Shaking_isoRep3,Filter_Whatman,Number_W15,Filter_0.2 uM,Initial,0.76,Initial,5.19
16,Control,Shaking,isoRep4,Number_Control_Shaking_isoRep4,Filter_Whatman,Number_W16,Filter_0.2 uM,Initial,0.77,Initial,5.19
17,DMCC2165,Stationary,isoRep1,Number_DMCC2165_Stationary_isoRep1,Filter_Whatman,Number_W17,Filter_0.2 uM,Initial,0.75,Initial,5.19
18,DMCC2165,Stationary,isoRep2,Number_DMCC2165_Stationary_isoRep2,Filter_Whatman,Number_W18,Filter_0.2 uM,Initial,0.73,Initial,5.19
19,DMCC2165,Stationary,isoRep3,Number_DMCC2165_Stationary_isoRep3,Filter_Whatman,Number_W19,Filter_0.2 uM,Initial,0.74,Initial,5.19
20,DMCC2165,Stationary,isoRep4,Number_DMCC2165_Stationary_isoRep4,Filter_Whatman,Number_W20,Filter_0.2 uM,Initial,0.74,Initial,5.19
21,DMCC2127,Stationary,isoRep1,Number_DMCC2127_Stationary_isoRep1,Filter_Whatman,Number_W21,Filter_0.2 uM,Initial,0.74,Initial,5.19
22,DMCC2127,Stationary,isoRep2,Number_DMCC2127_Stationary_isoRep2,Filter_Whatman,Number_W22,Filter_0.2 uM,Initial,0.73,Initial,5.19
23,DMCC2127,Stationary,isoRep3,Number_DMCC2127_Stationary_isoRep3,Filter_Whatman,Number_W23,Filter_0.2 uM,Initial,0.71,Initial,5.19
24,DMCC2127,Stationary,isoRep4,Number_DMCC2127_Stationary_isoRep4,Filter_Whatman,Number_W24,Filter_0.2 uM,Initial,0.76,Initial,5.19
25,DMCC2126,Stationary,isoRep1,Number_DMCC2126_Stationary_isoRep1,Filter_Whatman,Number_W25,Filter_0.2 uM,Initial,0.77,Initial,5.19
26,DMCC2126,Stationary,isoRep2,Number_DMCC2126_Stationary_isoRep2,Filter_Whatman,Number_W26,Filter_0.2 uM,Initial,0.75,Initial,5.19
27,DMCC2126,Stationary,isoRep3,Number_DMCC2126_Stationary_isoRep3,Filter_Whatman,Number_W27,Filter_0.2 uM,Initial,0.76,Initial,5.19
28,DMCC2126,Stationary,isoRep4,Number_DMCC2126_Stationary_isoRep4,Filter_Whatman,Number_W28,Filter_0.2 uM,Initial,0.76,Initial,5.19
29,Control,Stationary,isoRep1,Number_Control_Stationary_isoRep1,Filter_Whatman,Number_W29,Filter_0.2 uM,Initial,0.76,Initial,5.19
30,Control,Stationary,isoRep2,Number_Control_Stationary_isoRep2,Filter_Whatman,Number_W30,Filter_0.2 uM,Initial,0.77,Initial,5.19
31,Control,Stationary,isoRep3,Number_Control_Stationary_isoRep3,Filter_Whatman,Number_W31,Filter_0.2 uM,Initial,0.77,Initial,5.19
32,Control,Stationary,isoRep4,Number_Control_Stationary_isoRep4,Filter_Whatman,Number_W32,Filter_0.2 uM,Initial,0.77,Initial,5.19
33,DMCC2165,Shaking,isoRep1,Number_DMCC2165_Shaking_isoRep1,Filter_Whatman,Number_W1,Filter_0.2 uM,Final,1.01,Final,5.95
34,DMCC2165,Shaking,isoRep2,Number_DMCC2165_Shaking_isoRep2,Filter_Whatman,Number_W2,Filter_0.2 uM,Final,0.92,Final,5.74
35,DMCC2165,Shaking,isoRep3,Number_DMCC2165_Shaking_isoRep3,Filter_Whatman,Number_W3,Filter_0.2 uM,Final,1.02,Final,5.85
36,DMCC2165,Shaking,isoRep4,Number_DMCC2165_Shaking_isoRep4,Filter_Whatman,Number_W4,Filter_0.2 uM,Final,0.96,Final,5.8
37,DMCC2127,Shaking,isoRep1,Number_DMCC2127_Shaking_isoRep1,Filter_Whatman,Number_W5,Filter_0.2 uM,Final,1.05,Final,4.69
38,DMCC2127,Shaking,isoRep2,Number_DMCC2127_Shaking_isoRep2,Filter_Whatman,Number_W6,Filter_0.2 uM,Final,1.11,Final,4.7
39,DMCC2127,Shaking,isoRep3,Number_DMCC2127_Shaking_isoRep3,Filter_Whatman,Number_W7,Filter_0.2 uM,Final,0.96,Final,4.66
40,DMCC2127,Shaking,isoRep4,Number_DMCC2127_Shaking_isoRep4,Filter_Whatman,Number_W8,Filter_0.2 uM,Final,1.25,Final,4.66
41,DMCC2126,Shaking,isoRep1,Number_DMCC2126_Shaking_isoRep1,Filter_Whatman,Number_W9,Filter_0.2 uM,Final,1.15,Final,5.5
42,DMCC2126,Shaking,isoRep2,Number_DMCC2126_Shaking_isoRep2,Filter_Whatman,Number_W10,Filter_0.2 uM,Final,1.24,Final,5.71
43,DMCC2126,Shaking,isoRep3,Number_DMCC2126_Shaking_isoRep3,Filter_Whatman,Number_W11,Filter_0.2 uM,Final,1.19,Final,5.72
44,DMCC2126,Shaking,isoRep4,Number_DMCC2126_Shaking_isoRep4,Filter_Whatman,Number_W12,Filter_0.2 uM,Final,1.07,Final,5.11
45,Control,Shaking,isoRep1,Number_Control_Shaking_isoRep1,Filter_Whatman,Number_W13,Filter_0.2 uM,Final,0.77,Final,5
46,Control,Shaking,isoRep2,Number_Control_Shaking_isoRep2,Filter_Whatman,Number_W14,Filter_0.2 uM,Final,0.75,Final,4.9
47,Control,Shaking,isoRep3,Number_Control_Shaking_isoRep3,Filter_Whatman,Number_W15,Filter_0.2 uM,Final,0.71,Final,5.01
48,Control,Shaking,isoRep4,Number_Control_Shaking_isoRep4,Filter_Whatman,Number_W16,Filter_0.2 uM,Final,0.71,Final,4.99
49,DMCC2165,Stationary,isoRep1,Number_DMCC2165_Stationary_isoRep1,Filter_Whatman,Number_W17,Filter_0.2 uM,Final,0.86,Final,5.29
50,DMCC2165,Stationary,isoRep2,Number_DMCC2165_Stationary_isoRep2,Filter_Whatman,Number_W18,Filter_0.2 uM,Final,0.84,Final,5.25
51,DMCC2165,Stationary,isoRep3,Number_DMCC2165_Stationary_isoRep3,Filter_Whatman,Number_W19,Filter_0.2 uM,Final,0.85,Final,5.12
52,DMCC2165,Stationary,isoRep4,Number_DMCC2165_Stationary_isoRep4,Filter_Whatman,Number_W20,Filter_0.2 uM,Final,0.82,Final,5.17
53,DMCC2127,Stationary,isoRep1,Number_DMCC2127_Stationary_isoRep1,Filter_Whatman,Number_W21,Filter_0.2 uM,Final,0.95,Final,4.77
54,DMCC2127,Stationary,isoRep2,Number_DMCC2127_Stationary_isoRep2,Filter_Whatman,Number_W22,Filter_0.2 uM,Final,0.94,Final,4.63
55,DMCC2127,Stationary,isoRep3,Number_DMCC2127_Stationary_isoRep3,Filter_Whatman,Number_W23,Filter_0.2 uM,Final,0.84,Final,4.94
56,DMCC2127,Stationary,isoRep4,Number_DMCC2127_Stationary_isoRep4,Filter_Whatman,Number_W24,Filter_0.2 uM,Final,0.85,Final,4.48
57,DMCC2126,Stationary,isoRep1,Number_DMCC2126_Stationary_isoRep1,Filter_Whatman,Number_W25,Filter_0.2 uM,Final,0.86,Final,5.01
58,DMCC2126,Stationary,isoRep2,Number_DMCC2126_Stationary_isoRep2,Filter_Whatman,Number_W26,Filter_0.2 uM,Final,0.93,Final,5.11
59,DMCC2126,Stationary,isoRep3,Number_DMCC2126_Stationary_isoRep3,Filter_Whatman,Number_W27,Filter_0.2 uM,Final,0.78,Final,5.14
60,DMCC2126,Stationary,isoRep4,Number_DMCC2126_Stationary_isoRep4,Filter_Whatman,Number_W28,Filter_0.2 uM,Final,0.75,Final,4.96
61,Control,Stationary,isoRep1,Number_Control_Stationary_isoRep1,Filter_Whatman,Number_W29,Filter_0.2 uM,Final,0.72,Final,4.96
62,Control,Stationary,isoRep2,Number_Control_Stationary_isoRep2,Filter_Whatman,Number_W30,Filter_0.2 uM,Final,0.72,Final,5.01
63,Control,Stationary,isoRep3,Number_Control_Stationary_isoRep3,Filter_Whatman,Number_W31,Filter_0.2 uM,Final,0.69,Final,4.99
64,Control,Stationary,isoRep4,Number_Control_Stationary_isoRep4,Filter_Whatman,Number_W32,Filter_0.2 uM,Final,0.7,Final,4.99
